Company,First_Name,Last_Name,Email,Domain,License
Chakala TOURS AND SAFARIS,,,chakalasafaris@gmail.com,,UTB/RTT/TO/2026/102217
"DEEPER DIVING RETREATS, SUMMITS & ADVENTURES",,,emmanduwaayo2002@gmail.com,,UTB/RTT/TO/2026/102407
ENSHAMA SAFARIS,,,support@enshamasafaris.com,enshamasafaris.com,UTB/RTT/TO/2025/101745
FAASA TRAVEL,,,faasa605@gmail.com,,UTB/RTT/TO/2026/102370
AFRICAN FLY IN SAFARIS,,,africaflyinsafaris@gmail.com,,UTB/RTT/TO/2026/102384
GABITEX SAFARIS,,,gabitexsafaris@gmail.com,,UTB/RTT/TO/2026/102346
BLUFF LODGE & ADVENTURES,,,info@gorillablufflodge.com,gorillablufflodge.com,UTB/RTT/TO/2026/102389
GORILLAND TRAVELCARE LIMITED,,,info@gorillandtravelcare.com,gorillandtravelcare.com,UTB/RTT/TO/2026/102283
Gorilla Walking Safaris,,,reservations@gorillawalkingsafaris.com,gorillawalkingsafaris.com,UTB/RTT/TO/2019/00296
GORILLAS88,,,muhumuzatom57@gmail.com,,UTB/RTT/TO/2025/102053
JAHNEL TRAVEL SOLUTIONS,,,jahneltravel@gmail.com,,UTB/RTT/TO/2025/102143
KENZI SAFARIS,,,info@kenzisafaris.com,kenzisafaris.com,UTB/RTT/TO/2026/102327
KHOKELO SAFARIS UGANDA,,,info@khokelosafaris.nl,khokelosafaris.nl,UTB/RTT/TO/2026/102349
MITANO ADVENTURES,,,garysimo3@gmail.com,,UTB/RTT/TO/2026/102319
MODEST TOURS AND TRAVEL,,,toursandtravelsmodest@gmail.com,,UTB/RTT/TO/2026/102300
MOSBURG TOURS AND TRAVEL,,,mosburgttadm@gmail.com,,UTB/RTT/TO/2026/102243
NASEEM JEDDAH SAFARI EAST AFRICA,,,info@naseemsafari.com,naseemsafari.com,UTB/RTT/TO/2026/102302
ORIKA AFRICA TOURS,,,orikaafricatours@gmail.com,,UTB/RTT/TO/2025/101915
SAVANNAH WILD 24 SAFARIS,,,katson.robert76@gmail.com,,UTB/RTT/TO/2026/102307
SIMSO SAFARIS UG,,,ngabiranochris2@gmail.com,,UTB/RTT/TO/2026/102273
THAYEN SAFARIS,,,kizitoisaiah8@gmail.com,,UTB/RTT/TO/2025/102147
T&E (U) Ltd,,,trotsandsafaris@gmail.com,,UTB/RTT/TO/2023/100828
TWD Travels,,,info@twdtravels.com,twdtravels.com,UTB/RTT/TO/2026/102305
VILLAGE WEAVER TOURS AND TRAVEL,,,Lynetteonen903@gmail.com,,UTB/RTT/TO/2026/102226
Wano routes,,,info@wanoroutes.com,wanoroutes.com,UTB/RTT/TO/2025/102044
WAZALENDO AFRICA TRAVEL AGENCY,,,info@wazalendotours.com,wazalendotours.com,UTB/RTT/TO/2026/102260
ACTIVENTURE SAFARIS,,,tours@activenturesafrica.com,activenturesafrica.com,UTB/RTT/TO/2025/101996
AKAANA WILD TOURS,,,akaanawildtours@gmail.com,,UTB/RTT/TO/2026/102176
AL-HIBA TOURS & TRAVEL AGENCIES,,,alhibaagencies@gmail.com,,UTB/RTT/TO/2026/102246
Bulamu safaris,,,bulamusafaris@gmail.com,,UTB/RTT/TO/2026/102329
C & C TOURS AND ADVENTURES,,,canctours06@gmail.com,,UTB/RTT/TO/2025/102127
ENO NERI ADVENTURE COMPANY LIMITED,,,info@enoneriadventure.com,enoneriadventure.com,UTB/RTT/TO/2026/102225
Foreshore Adventures,,,edwinkirabo@icloud.com,,UTB/RTT/TO/2025/102140
FRESH WATERS TOURS&TRAVELS UGANDA,,,freshwaterstours@gmail.com,,UTB/RTT/TO/2025/101663
Gorilla Uganda Bookings Limited,,,info@gorillabookings.com,gorillabookings.com,UTB/RTT/TO/2020/00315
GUBA SAFARIS LTD,,,info@gubasafaris.com,gubasafaris.com,UTB/RTT/TO/2025/102029
Hemba Africa Safaris ltd,,,senyondo311@gmail.com,,UTB/RTT/TO/2025/102062
JOJEKAN TOURS AND TRAVEL,,,jojekantt@gmail.com,,UTB/RTT/TO/2025/101618
KASINGYE ADVENTURE,,,kasingyeadventure@gmail.com,,UTB/RTT/TO/2026/102186
KENTUREGYE SAFARIS LIMITED,,,info@kenturegyeasafaris.com,kenturegyeasafaris.com,UTB/RTT/TO/2026/102352
LUSWATA TOURS AND TRAVEL,,,luswataremmykasekende@gmail.com,,UTB/RTT/TO/2026/102285
MALLARD TOURS AND SAFARIS,,,rebeccatusingwire@mallardtoursandsafaris.com,mallardtoursandsafaris.com,UTB/RTT/TO/2026/102333
MEXY VOYAGE SAFARIS,,,mexyvoyage5@gmail.com,,UTB/RTT/TO/2026/102254
ML Afrika Safaris and tours Uganda limited,,,info@mlafrikasafaris.com,mlafrikasafaris.com,UTB/RTT/TO/2025/102110
MR.MOTIVATOR TIMES TOURS & TRAVEL,,,info@motivatortimes.com,motivatortimes.com,UTB/RTT/TO/2025/101552
NGEYE TOURS AND TRAVEL,,,ngeyetours@gmail.com,,UTB/RTT/TO/2023/100844
Nturo Safaris,,,info@nturosafaris.com,nturosafaris.com,UTB/RTT/TO/2025/102083
OUT IN THE WIL D SAFARIS LIMITED,,,outinthewildsafaris@gmail.com,,UTB/RTT/TO/2025/102054
PANGEA CONNECT EAST AFRICA,,,connect@pceal.com,pceal.com,UTB/RTT/TO/2026/102205
PEKU ADVENTURES LTD,,,tukahirwaprossy@gmail.com,,UTB/RTT/TO/2026/102212
People Link Safaris Ltd,,,peoplelinksafaris@gmail.com,,UTB/RTT/TO/2026/102401
Phinok Safaris Africa Limited,,,info@phinoksafarisafrica.com,phinoksafarisafrica.com,UTB/RTT/TO/2025/102164
RUKU SAFARIS AND ADVENTURES LIMITED,,,derrickakolagye@gmail.com,,UTB/RTT/TO/2026/102372
4WD Africa,,,info@selfdriveuganda.com,selfdriveuganda.com,UTB/RTT/TO/2026/102279
Tata Africa Safaris,,,tataafricasafaris@gmail.com,,UTB/RTT/TO/2026/102182
Tembea Safaris,,,juniormnga@gmail.com,,UTB/RTT/TO/2026/102232
Gofly Tours & Travel,,,goflytraveluganda@gmail.com,,UTB/RTT/TO/2026/102326
Trek Safaris (Uganda)Ltd,,,info@treksafarisug.com,treksafarisug.com,UTB/RTT/TO/2023/100780
GODWINSON SAFARIS,,,operations@villagegardenchicken.com,villagegardenchicken.com,UTB/RTT/TO/2025/101986
WAGWAN TOURS UGANDA LIMITED,,,info@wagwantours.com,wagwantours.com,UTB/RTT/TO/2026/102301
WILDPULSE ADVENTURES,,,info@wildpulseadventures.com,wildpulseadventures.com,UTB/RTT/TO/2025/101551
CYCAD VILLAGE UGANDA,,,cycadvillageuganda@gmail.com,,UTB/RTT/TO/2022/100355
Adventure Vacations Safaris,,,adventurevacationsafaris@gmail.com,,UTB/RTT/TO/2019/0036
Afoyo African Safaris,,,afoyoafricansafaris@gmail.com,,UTB/RTT/TO/2026/102198
AFRICAN EXPERT SAFARIS,,,Victorafricanexpertsafaris@gmail.com,,UTB/RTT/TO/2022/100320
African Finfoot Safaris,,,info@africanfinfootsafaris.com,africanfinfootsafaris.com,UTB/RTT/TO/2024/101001
Four Crane Safaris,,,fourcranesafaris@gmail.com,,UTB/RTT/TO/2024/101045
Alakara Travels Limited.,,,post@alakaratravels.com,alakaratravels.com,UTB/RTT/TO/2025/101608
Alkebulan Safari Limited,,,info.alkebulansafaris@gmail.com,,UTB/RTT/TO/2025/101958
BEVERLY SAFARIS & EXPEDITIONS AFRICA,,,info@beverlysafaris.com,beverlysafaris.com,UTB/RTT/TO/2025/102017
Brythos Africa,,,info@brythosafricatours.com,brythosafricatours.com,UTB/RTT/TO/2025/101955
Bush Wander Experience Ltd,,,bushwander@gmail.com,,UTB/RTT/TO/2025/101720
Discovery Journeys Limited,,,info@discovery-journeys.com,discovery-journeys.com,UTB/RTT/TO/2023/100814
Escosphere Safaris,,,ecospheresafaris@gmail.com,,UTB/RTT/TO/2026/102177
Ellington Safaris,,,info@ellingtonsafaris.com,ellingtonsafaris.com,UTB/RTT/TO/2022/100299
Evolet Travel Africa Ltd,,,evolettravelafrica@outlook.com,,UTB/RTT/TO/2025/101610
Explore Wildlife Africa,,,tours@explorewildlifeafrica.com,explorewildlifeafrica.com,UTB/RTT/TO/2025/101843
Forever Africa Safari,,,info@foreverafricasafari.com,foreverafricasafari.com,UTB/RTT/TO/2024/101197
GENZ AFRICA WILD SAFARIS,,,genzafricawildsafaris@gmail.com,,UTB/RTT/TO/2025/102132
GOLDEN TUSK JOURNEYS,,,info@goldentuskjourneys.com,goldentuskjourneys.com,UTB/RTT/TO/2026/102247
SANA GORILA RAFTING UGANDA,,,GORILLARAFTING@GMAIL.COM,,UTB/RTT/TO/2025/101574
Arrive Africa Safaris LTD,,,info@gorillasafariholidays.com,gorillasafariholidays.com,UTB/RTT/TO/2023/100932
GUINEA FOWL AFRICA SAFARIS LIMITED,,,guineafowlsafaris@gmail.com,,UTB/RTT/TO/2025/101891
HAYAT SAFARIS LIMITED,,,hayatsafarisltd@gmail.com,,UTB/RTT/TO/2025/101964
Namib Safaris Company,,,namibsafarisug@gmail.com,,UTB/RTT/TO/2025/102139
INBETWEEN UGANDA SAFARIS,,,inbetweenugandasafaris@gmail.com,,UTB/RTT/TO/2026/102373
Safari Lux Travel,,,Sophie198505@gmail.com,,UTB/RTT/TO/2024/101508
JETULIFE ADVENTURE SAFARI,,,jetulifeadventuresafari@gmail.com,,UTB/RTT/TO/2026/102321
JJERE SAFARIS & EXECUTIVE TRAVELS,,,dssembuuze2@gmail.com,,UTB/RTT/TO/2024/101173
