name,email,website,profile_url,update_url
Misty Gorilla Expeditions Ltd,info@mistygorillaexpeditions.com,https://mistygorillaexpeditions.com,https://lodgesofuganda.com/tour-operators/misty-gorilla-expeditions,https://lodgesofuganda.com/for-lodges/tour-operator?select=misty-gorilla-expeditions
Great Lakes Safaris,,https://greatlakessafaris.com,https://lodgesofuganda.com/tour-operators/great-lakes-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=great-lakes-safaris
Nkuringo Safaris,info@nkuringosafaris.com,https://nkuringosafaris.com,https://lodgesofuganda.com/tour-operators/nkuringo-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=nkuringo-safaris
Gorillas and Wildlife Safaris,info@gorillasandwildlifesafaris.com,https://gorillasandwildlifesafaris.com,https://lodgesofuganda.com/tour-operators/gorillas-and-wildlife-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=gorillas-and-wildlife-safaris
Bamboo Ecotours,info@bambooecotours.com,https://bambooecotours.com,https://lodgesofuganda.com/tour-operators/bamboo-ecotours,https://lodgesofuganda.com/for-lodges/tour-operator?select=bamboo-ecotours
Insight Safari Holidays,info@insightsafariholidays.com,https://insightsafariholidays.com,https://lodgesofuganda.com/tour-operators/insight-safari-holidays,https://lodgesofuganda.com/for-lodges/tour-operator?select=insight-safari-holidays
Inspire African Safaris,info@inspiresafaris.com,https://inspiresafaris.com,https://lodgesofuganda.com/tour-operators/inspire-african-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=inspire-african-safaris
All in Africa Safaris,info@allinafricasafaris.com,https://allinafricasafaris.com,https://lodgesofuganda.com/tour-operators/all-in-africa-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=all-in-africa-safaris
Prime Safaris & Tours,info@primeugandasafaris.com,https://primeugandasafaris.com,https://lodgesofuganda.com/tour-operators/prime-safaris-tours,https://lodgesofuganda.com/for-lodges/tour-operator?select=prime-safaris-tours
Dav Safaris,,https://davsafaris.com,https://lodgesofuganda.com/tour-operators/dav-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=dav-safaris
Lulu Safaris Uganda,lulu@lulusafarisuganda.com,https://lulusafarisuganda.com,https://lodgesofuganda.com/tour-operators/lulu-safaris-uganda,https://lodgesofuganda.com/for-lodges/tour-operator?select=lulu-safaris-uganda
Chakala Tours and Safaris,chakalasafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/chakala-tours-and-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=chakala-tours-and-safaris
"Deeper Diving Retreats, Summits & Adventures",emmanduwaayo2002@gmail.com,,https://lodgesofuganda.com/tour-operators/deeper-diving-retreats-summits-adventures,https://lodgesofuganda.com/for-lodges/tour-operator?select=deeper-diving-retreats-summits-adventures
Enshama Safaris,support@enshamasafaris.com,https://enshamasafaris.com,https://lodgesofuganda.com/tour-operators/enshama-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=enshama-safaris
Faasa Travel,faasa605@gmail.com,,https://lodgesofuganda.com/tour-operators/faasa-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=faasa-travel
African Fly in Safaris,africaflyinsafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/african-fly-in-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=african-fly-in-safaris
Gabitex Safaris,gabitexsafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/gabitex-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=gabitex-safaris
Bluff Lodge & Adventures,info@gorillablufflodge.com,https://gorillablufflodge.com,https://lodgesofuganda.com/tour-operators/bluff-lodge-adventures,https://lodgesofuganda.com/for-lodges/tour-operator?select=bluff-lodge-adventures
Gorilland Travelcare Limited,info@gorillandtravelcare.com,https://gorillandtravelcare.com,https://lodgesofuganda.com/tour-operators/gorilland-travelcare-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=gorilland-travelcare-limited
Gorilla Walking Safaris,reservations@gorillawalkingsafaris.com,https://gorillawalkingsafaris.com,https://lodgesofuganda.com/tour-operators/gorilla-walking-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=gorilla-walking-safaris
Gorillas88,muhumuzatom57@gmail.com,,https://lodgesofuganda.com/tour-operators/gorillas88,https://lodgesofuganda.com/for-lodges/tour-operator?select=gorillas88
Jahnel Travel Solutions,jahneltravel@gmail.com,,https://lodgesofuganda.com/tour-operators/jahnel-travel-solutions,https://lodgesofuganda.com/for-lodges/tour-operator?select=jahnel-travel-solutions
Kenzi Safaris,info@kenzisafaris.com,https://kenzisafaris.com,https://lodgesofuganda.com/tour-operators/kenzi-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=kenzi-safaris
Khokelo Safaris Uganda,info@khokelosafaris.nl,https://khokelosafaris.nl,https://lodgesofuganda.com/tour-operators/khokelo-safaris-uganda,https://lodgesofuganda.com/for-lodges/tour-operator?select=khokelo-safaris-uganda
Mitano Adventures,garysimo3@gmail.com,,https://lodgesofuganda.com/tour-operators/mitano-adventures,https://lodgesofuganda.com/for-lodges/tour-operator?select=mitano-adventures
Modest Tours and Travel,toursandtravelsmodest@gmail.com,,https://lodgesofuganda.com/tour-operators/modest-tours-and-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=modest-tours-and-travel
Mosburg Tours and Travel,mosburgttadm@gmail.com,,https://lodgesofuganda.com/tour-operators/mosburg-tours-and-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=mosburg-tours-and-travel
Naseem Jeddah Safari East Africa,info@naseemsafari.com,https://naseemsafari.com,https://lodgesofuganda.com/tour-operators/naseem-jeddah-safari-east-africa,https://lodgesofuganda.com/for-lodges/tour-operator?select=naseem-jeddah-safari-east-africa
Orika Africa Tours,orikaafricatours@gmail.com,,https://lodgesofuganda.com/tour-operators/orika-africa-tours,https://lodgesofuganda.com/for-lodges/tour-operator?select=orika-africa-tours
Savannah Wild 24 Safaris,katson.robert76@gmail.com,,https://lodgesofuganda.com/tour-operators/savannah-wild-24-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=savannah-wild-24-safaris
Simso Safaris Ug,ngabiranochris2@gmail.com,,https://lodgesofuganda.com/tour-operators/simso-safaris-ug,https://lodgesofuganda.com/for-lodges/tour-operator?select=simso-safaris-ug
Thayen Safaris,kizitoisaiah8@gmail.com,,https://lodgesofuganda.com/tour-operators/thayen-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=thayen-safaris
T&e (u) Ltd,trotsandsafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/t-e-u-ltd,https://lodgesofuganda.com/for-lodges/tour-operator?select=t-e-u-ltd
TWD Travels,info@twdtravels.com,https://twdtravels.com,https://lodgesofuganda.com/tour-operators/twd-travels,https://lodgesofuganda.com/for-lodges/tour-operator?select=twd-travels
Village Weaver Tours and Travel,Lynetteonen903@gmail.com,,https://lodgesofuganda.com/tour-operators/village-weaver-tours-and-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=village-weaver-tours-and-travel
Wano routes,info@wanoroutes.com,https://wanoroutes.com,https://lodgesofuganda.com/tour-operators/wano-routes,https://lodgesofuganda.com/for-lodges/tour-operator?select=wano-routes
Wazalendo Africa Travel Agency,info@wazalendotours.com,https://wazalendotours.com,https://lodgesofuganda.com/tour-operators/wazalendo-africa-travel-agency,https://lodgesofuganda.com/for-lodges/tour-operator?select=wazalendo-africa-travel-agency
Activenture Safaris,tours@activenturesafrica.com,https://activenturesafrica.com,https://lodgesofuganda.com/tour-operators/activenture-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=activenture-safaris
Akaana Wild Tours,akaanawildtours@gmail.com,,https://lodgesofuganda.com/tour-operators/akaana-wild-tours,https://lodgesofuganda.com/for-lodges/tour-operator?select=akaana-wild-tours
Al-hiba Tours & Travel Agencies,alhibaagencies@gmail.com,,https://lodgesofuganda.com/tour-operators/al-hiba-tours-travel-agencies,https://lodgesofuganda.com/for-lodges/tour-operator?select=al-hiba-tours-travel-agencies
Bulamu safaris,bulamusafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/bulamu-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=bulamu-safaris
C & C Tours and Adventures,canctours06@gmail.com,,https://lodgesofuganda.com/tour-operators/c-c-tours-and-adventures,https://lodgesofuganda.com/for-lodges/tour-operator?select=c-c-tours-and-adventures
Eno Neri Adventure Company Limited,info@enoneriadventure.com,https://enoneriadventure.com,https://lodgesofuganda.com/tour-operators/eno-neri-adventure-company-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=eno-neri-adventure-company-limited
Foreshore Adventures,edwinkirabo@icloud.com,,https://lodgesofuganda.com/tour-operators/foreshore-adventures,https://lodgesofuganda.com/for-lodges/tour-operator?select=foreshore-adventures
Fresh Waters Tours&travels Uganda,freshwaterstours@gmail.com,,https://lodgesofuganda.com/tour-operators/fresh-waters-tours-travels-uganda,https://lodgesofuganda.com/for-lodges/tour-operator?select=fresh-waters-tours-travels-uganda
Gorilla Uganda Bookings Limited,info@gorillabookings.com,https://gorillabookings.com,https://lodgesofuganda.com/tour-operators/gorilla-uganda-bookings-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=gorilla-uganda-bookings-limited
Guba Safaris LTD,info@gubasafaris.com,https://gubasafaris.com,https://lodgesofuganda.com/tour-operators/guba-safaris-ltd,https://lodgesofuganda.com/for-lodges/tour-operator?select=guba-safaris-ltd
Hemba Africa Safaris ltd,senyondo311@gmail.com,,https://lodgesofuganda.com/tour-operators/hemba-africa-safaris-ltd,https://lodgesofuganda.com/for-lodges/tour-operator?select=hemba-africa-safaris-ltd
Jojekan Tours and Travel,jojekantt@gmail.com,,https://lodgesofuganda.com/tour-operators/jojekan-tours-and-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=jojekan-tours-and-travel
Kasingye Adventure,kasingyeadventure@gmail.com,,https://lodgesofuganda.com/tour-operators/kasingye-adventure,https://lodgesofuganda.com/for-lodges/tour-operator?select=kasingye-adventure
Kenturegye Safaris Limited,info@kenturegyeasafaris.com,https://kenturegyeasafaris.com,https://lodgesofuganda.com/tour-operators/kenturegye-safaris-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=kenturegye-safaris-limited
Luswata Tours and Travel,luswataremmykasekende@gmail.com,,https://lodgesofuganda.com/tour-operators/luswata-tours-and-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=luswata-tours-and-travel
Mallard Tours and Safaris,rebeccatusingwire@mallardtoursandsafaris.com,https://mallardtoursandsafaris.com,https://lodgesofuganda.com/tour-operators/mallard-tours-and-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=mallard-tours-and-safaris
Mexy Voyage Safaris,mexyvoyage5@gmail.com,,https://lodgesofuganda.com/tour-operators/mexy-voyage-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=mexy-voyage-safaris
ML Afrika Safaris and tours Uganda limited,info@mlafrikasafaris.com,https://mlafrikasafaris.com,https://lodgesofuganda.com/tour-operators/ml-afrika-safaris-and-tours-uganda-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=ml-afrika-safaris-and-tours-uganda-limited
Mr.motivator Times Tours & Travel,info@motivatortimes.com,https://motivatortimes.com,https://lodgesofuganda.com/tour-operators/mr-motivator-times-tours-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=mr-motivator-times-tours-travel
Ngeye Tours and Travel,ngeyetours@gmail.com,,https://lodgesofuganda.com/tour-operators/ngeye-tours-and-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=ngeye-tours-and-travel
Nturo Safaris,info@nturosafaris.com,https://nturosafaris.com,https://lodgesofuganda.com/tour-operators/nturo-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=nturo-safaris
Out in the Wil D Safaris Limited,outinthewildsafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/out-in-the-wil-d-safaris-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=out-in-the-wil-d-safaris-limited
Pangea Connect East Africa,connect@pceal.com,https://pceal.com,https://lodgesofuganda.com/tour-operators/pangea-connect-east-africa,https://lodgesofuganda.com/for-lodges/tour-operator?select=pangea-connect-east-africa
Peku Adventures LTD,tukahirwaprossy@gmail.com,,https://lodgesofuganda.com/tour-operators/peku-adventures-ltd,https://lodgesofuganda.com/for-lodges/tour-operator?select=peku-adventures-ltd
People Link Safaris Ltd,peoplelinksafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/people-link-safaris-ltd,https://lodgesofuganda.com/for-lodges/tour-operator?select=people-link-safaris-ltd
Phinok Safaris Africa Limited,info@phinoksafarisafrica.com,https://phinoksafarisafrica.com,https://lodgesofuganda.com/tour-operators/phinok-safaris-africa-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=phinok-safaris-africa-limited
Ruku Safaris and Adventures Limited,derrickakolagye@gmail.com,,https://lodgesofuganda.com/tour-operators/ruku-safaris-and-adventures-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=ruku-safaris-and-adventures-limited
4WD Africa,info@selfdriveuganda.com,https://selfdriveuganda.com,https://lodgesofuganda.com/tour-operators/4wd-africa,https://lodgesofuganda.com/for-lodges/tour-operator?select=4wd-africa
Tata Africa Safaris,tataafricasafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/tata-africa-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=tata-africa-safaris
Tembea Safaris,juniormnga@gmail.com,,https://lodgesofuganda.com/tour-operators/tembea-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=tembea-safaris
Gofly Tours & Travel,goflytraveluganda@gmail.com,,https://lodgesofuganda.com/tour-operators/gofly-tours-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=gofly-tours-travel
Trek Safaris (Uganda)Ltd,info@treksafarisug.com,https://treksafarisug.com,https://lodgesofuganda.com/tour-operators/trek-safaris-uganda-ltd,https://lodgesofuganda.com/for-lodges/tour-operator?select=trek-safaris-uganda-ltd
Godwinson Safaris,operations@villagegardenchicken.com,https://villagegardenchicken.com,https://lodgesofuganda.com/tour-operators/godwinson-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=godwinson-safaris
Wagwan Tours Uganda Limited,info@wagwantours.com,https://wagwantours.com,https://lodgesofuganda.com/tour-operators/wagwan-tours-uganda-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=wagwan-tours-uganda-limited
Wildpulse Adventures,info@wildpulseadventures.com,https://wildpulseadventures.com,https://lodgesofuganda.com/tour-operators/wildpulse-adventures,https://lodgesofuganda.com/for-lodges/tour-operator?select=wildpulse-adventures
Cycad Village Uganda,cycadvillageuganda@gmail.com,,https://lodgesofuganda.com/tour-operators/cycad-village-uganda,https://lodgesofuganda.com/for-lodges/tour-operator?select=cycad-village-uganda
Adventure Vacations Safaris,adventurevacationsafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/adventure-vacations-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=adventure-vacations-safaris
Afoyo African Safaris,afoyoafricansafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/afoyo-african-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=afoyo-african-safaris
African Expert Safaris,Victorafricanexpertsafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/african-expert-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=african-expert-safaris
African Finfoot Safaris,info@africanfinfootsafaris.com,https://africanfinfootsafaris.com,https://lodgesofuganda.com/tour-operators/african-finfoot-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=african-finfoot-safaris
Four Crane Safaris,fourcranesafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/four-crane-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=four-crane-safaris
Alakara Travels Limited.,post@alakaratravels.com,https://alakaratravels.com,https://lodgesofuganda.com/tour-operators/alakara-travels-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=alakara-travels-limited
Alkebulan Safari Limited,info.alkebulansafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/alkebulan-safari-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=alkebulan-safari-limited
Beverly Safaris & Expeditions Africa,info@beverlysafaris.com,https://beverlysafaris.com,https://lodgesofuganda.com/tour-operators/beverly-safaris-expeditions-africa,https://lodgesofuganda.com/for-lodges/tour-operator?select=beverly-safaris-expeditions-africa
Brythos Africa,info@brythosafricatours.com,https://brythosafricatours.com,https://lodgesofuganda.com/tour-operators/brythos-africa,https://lodgesofuganda.com/for-lodges/tour-operator?select=brythos-africa
Bush Wander Experience Ltd,bushwander@gmail.com,,https://lodgesofuganda.com/tour-operators/bush-wander-experience-ltd,https://lodgesofuganda.com/for-lodges/tour-operator?select=bush-wander-experience-ltd
Discovery Journeys Limited,info@discovery-journeys.com,https://discovery-journeys.com,https://lodgesofuganda.com/tour-operators/discovery-journeys-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=discovery-journeys-limited
Escosphere Safaris,ecospheresafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/escosphere-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=escosphere-safaris
Ellington Safaris,info@ellingtonsafaris.com,https://ellingtonsafaris.com,https://lodgesofuganda.com/tour-operators/ellington-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=ellington-safaris
Evolet Travel Africa Ltd,evolettravelafrica@outlook.com,,https://lodgesofuganda.com/tour-operators/evolet-travel-africa-ltd,https://lodgesofuganda.com/for-lodges/tour-operator?select=evolet-travel-africa-ltd
Explore Wildlife Africa,tours@explorewildlifeafrica.com,https://explorewildlifeafrica.com,https://lodgesofuganda.com/tour-operators/explore-wildlife-africa,https://lodgesofuganda.com/for-lodges/tour-operator?select=explore-wildlife-africa
Forever Africa Safari,info@foreverafricasafari.com,https://foreverafricasafari.com,https://lodgesofuganda.com/tour-operators/forever-africa-safari,https://lodgesofuganda.com/for-lodges/tour-operator?select=forever-africa-safari
Genz Africa Wild Safaris,genzafricawildsafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/genz-africa-wild-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=genz-africa-wild-safaris
Golden Tusk Journeys,info@goldentuskjourneys.com,https://goldentuskjourneys.com,https://lodgesofuganda.com/tour-operators/golden-tusk-journeys,https://lodgesofuganda.com/for-lodges/tour-operator?select=golden-tusk-journeys
Sana Gorila Rafting Uganda,GORILLARAFTING@GMAIL.COM,,https://lodgesofuganda.com/tour-operators/sana-gorila-rafting-uganda,https://lodgesofuganda.com/for-lodges/tour-operator?select=sana-gorila-rafting-uganda
Arrive Africa Safaris LTD,info@gorillasafariholidays.com,https://gorillasafariholidays.com,https://lodgesofuganda.com/tour-operators/arrive-africa-safaris-ltd,https://lodgesofuganda.com/for-lodges/tour-operator?select=arrive-africa-safaris-ltd
Guinea Fowl Africa Safaris Limited,guineafowlsafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/guinea-fowl-africa-safaris-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=guinea-fowl-africa-safaris-limited
Hayat Safaris Limited,hayatsafarisltd@gmail.com,,https://lodgesofuganda.com/tour-operators/hayat-safaris-limited,https://lodgesofuganda.com/for-lodges/tour-operator?select=hayat-safaris-limited
Namib Safaris Company,namibsafarisug@gmail.com,,https://lodgesofuganda.com/tour-operators/namib-safaris-company,https://lodgesofuganda.com/for-lodges/tour-operator?select=namib-safaris-company
Inbetween Uganda Safaris,inbetweenugandasafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/inbetween-uganda-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=inbetween-uganda-safaris
Safari Lux Travel,Sophie198505@gmail.com,,https://lodgesofuganda.com/tour-operators/safari-lux-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=safari-lux-travel
Jetulife Adventure Safari,jetulifeadventuresafari@gmail.com,,https://lodgesofuganda.com/tour-operators/jetulife-adventure-safari,https://lodgesofuganda.com/for-lodges/tour-operator?select=jetulife-adventure-safari
Jjere Safaris & Executive Travels,dssembuuze2@gmail.com,,https://lodgesofuganda.com/tour-operators/jjere-safaris-executive-travels,https://lodgesofuganda.com/for-lodges/tour-operator?select=jjere-safaris-executive-travels
Journey Craft Uganda Safaris,journeycraftugandasafaris@gmail.com,,https://lodgesofuganda.com/tour-operators/journey-craft-uganda-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=journey-craft-uganda-safaris
Joyride Tours and Travel,info@jungleexperiencesafaris.com,https://jungleexperiencesafaris.com,https://lodgesofuganda.com/tour-operators/joyride-tours-and-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=joyride-tours-and-travel
Kalinju Tour & Travel,byamukamainnocent@gmail.com,,https://lodgesofuganda.com/tour-operators/kalinju-tour-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=kalinju-tour-travel
Kedrace Tours & Travel,kanyesigyekedrace@gmail.com,,https://lodgesofuganda.com/tour-operators/kedrace-tours-travel,https://lodgesofuganda.com/for-lodges/tour-operator?select=kedrace-tours-travel
Khatha Travel and Safaris,bookings@khathasafaris.com,https://khathasafaris.com,https://lodgesofuganda.com/tour-operators/khatha-travel-and-safaris,https://lodgesofuganda.com/for-lodges/tour-operator?select=khatha-travel-and-safaris
kimed eco tours,info@kimedecotours.com,https://kimedecotours.com,https://lodgesofuganda.com/tour-operators/kimed-eco-tours,https://lodgesofuganda.com/for-lodges/tour-operator?select=kimed-eco-tours
